profil_id,age,sexe,region,voie_bac,serie_bac,domaine_technique_bac,moyenne_generale,note_mathematiques,note_physique_chimie,note_svt,note_francais,note_malgache,note_anglais,note_histoire_geo,note_philosophie,note_economie,note_informatique,note_arts,note_eps,matieres_preferees,competences_declarees,centres_interet,activites_projets,preferences_professionnelles,environnement_travail_recherche,mention_recommandee,parcours_recommande,parcours_recommande_nom,profil_ambigu,parcours_alternatif_plausible
P00448,17,M,Ihorombe,Professionnel et technique,TOM,Industriel,14.03,16.7,13.6,15.6,12.9,14.1,13.7,14.5,11.8,17.8,13.7,11.3,12.6,Economie; Histoire_Geo; Malgache; Mathematiques; SVT,aisance relationnelle; machine learning et deep learning; autonomie; traitement de données massives (Big Data); analyse statistique et probabilités appliquées,Robotique; Bénévolat associatif,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; pratique un sport en club depuis plusieurs années,Data Scientist; avoir un poste à responsabilités,Bureau/Numérique,Informatique et Télécommunications,ISAIA,"Informatique, Statistique Appliquée et Intelligence Artificielle",False,
P00449,18,M,Atsimo-Andrefana,Professionnel et technique,PCBTP,Génie civil / BTP,10.93,9.4,12.2,12.1,13.9,12.6,7.7,11.9,14.3,7.6,10.4,10.0,9.0,EPS; Francais; Philosophie; Physique_Chimie,autonomie; droit foncier et minier; esprit d'équipe; esprit d'analyse; rédaction d'actes juridiques; droit des contrats et des sociétés,Actualité et politique; Réseaux sociaux,a organisé une petite activité commerciale ou un projet associatif,Expert en contentieux d'affaires; Juriste d'affaires,Contact clientèle/Relationnel,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,False,
P00450,18,M,Itasy,Général,D,,16.11,19.9,16.0,15.2,16.9,15.7,16.4,15.6,14.6,14.8,16.6,16.9,14.7,Arts; Francais; Mathematiques,rigueur; géotechnique; sens de l'organisation; curiosité; persévérance,Urbanisme,a réalisé des maquettes ou des plans de construction pour un projet scolaire; aime dessiner des plans de maisons ou des croquis d'aménagement; pratique un sport en club depuis plusieurs années,Conducteur de travaux; Architecte junior; travailler à l'international,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,False,
P00451,17,F,Sava,Professionnel et technique,TAMB,Industriel,14.83,17.9,13.6,14.2,14.6,14.4,15.4,15.6,11.3,20,13.7,14.4,12.9,Anglais; Economie; Histoire_Geo; Mathematiques,rigueur; esprit d'équipe; créativité; négociation et vente internationale; curiosité,Gestion; Lecture,gère les comptes d'une association d'élèves; a participé à un club de débat ou un simulacre de procès au lycée,Chef Comptable; Directeur Administratif et Financier,Contact clientèle/Relationnel,Droit et Techniques des Affaires,FIC,Finances et Comptabilité,True,CAA
P00452,18,M,Atsimo-Andrefana,Général,C,,9.35,7.6,9.4,9.5,9.1,11.9,8.7,13.5,8.2,9.9,6.8,10.7,6.9,Arts; Economie; Histoire_Geo; Malgache; SVT,agroécologie et agriculture biologique; productions végétales et animales; esprit d'équipe; développement rural; sens de l'organisation,Agriculture; Bénévolat associatif,a participé à un club de sciences naturelles ou d'écologie; aide régulièrement dans l'exploitation agricole familiale; a occupé un petit job ou une activité rémunérée pendant les vacances,Responsable de production animale; avoir un métier stable,Terrain/Extérieur,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00453,20,M,Androy,Professionnel et technique,EN,Industriel,13.41,12.6,13.3,13.3,13.7,13.7,14.9,13.0,12.2,12.0,17.9,13.4,10.9,Anglais; Francais; Informatique,communication digitale et PAO; sens de l'observation; esprit d'équipe; production et montage audiovisuel,Robotique; Musique,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel,Développeur multimédia; Webmaster; travailler à l'international,Mixte/Itinérant,Informatique et Télécommunications,IMTICIA,"Informatique Multimédia, Technologie de l'Information et de la Communication et Intelligence Artificielle",False,
P00454,18,F,Haute Matsiatra,Professionnel et technique,TEV,Agricole,10.82,8.5,10.2,10.8,10.8,11.0,13.8,14.3,9.3,9.7,8.5,13.3,9.7,Anglais; Histoire_Geo; Mathematiques,persévérance; curiosité; sens de l'organisation; conception de produits touristiques,Voyage; Musique,aime cuisiner et découvrir des plats d'autres cultures; a effectué un stage d'observation dans un hôtel ou une agence de voyage,Manager d'agence de voyage,Contact clientèle/Relationnel,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",True,TEE
P00455,17,F,Ihorombe,Professionnel et technique,TAG,Agricole,14.18,13.2,16.4,18.6,14.4,16.7,12.9,13.0,11.1,13.6,13.8,13.2,13.2,Malgache; Physique_Chimie; SVT,esprit d'équipe; esprit d'analyse; phytochimie,Agriculture; Bénévolat associatif,s'occupe d'un petit élevage ou d'un jardin potager,Délégué médical; Chercheur en phyto-médicaments; avoir un métier stable,Terrain/Extérieur,Biotechnologie et Agronomie,PIP,Pharmacologie et Industries Pharmaceutiques,False,
P00456,18,M,Betsiboka,Général,S,,14.28,15.2,14.6,14.0,13.3,14.7,15.7,15.0,12.9,14.5,14.3,13.3,13.8,Histoire_Geo; Mathematiques; Physique_Chimie,esprit d'analyse; créativité; conception assistée par ordinateur (AutoCAD); sens de l'observation; maintenance industrielle pluridisciplinaire; électronique de puissance,Industrie; Automobile et aéronautique,a démonté et réparé des appareils électroménagers ou mécaniques par curiosité; aide régulièrement à l'entretien de véhicules en famille,Ingénieur en bureau d'études mécanique; Responsable de production en usine; créer sa propre entreprise,Atelier/Industriel,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,False,
P00457,17,F,Haute Matsiatra,Professionnel et technique,TAG,Agricole,11.53,13.5,14.9,14.3,10.5,12.1,10.0,8.9,9.8,11.9,11.2,11.2,10.1,Economie; Malgache; Mathematiques; Physique_Chimie; SVT,gestion de laboratoire d'analyses médicales; esprit d'équipe; formulation pharmaceutique; phytochimie; sens de l'organisation; sens de l'observation; curiosité,Nature; Environnement; Lecture,s'occupe d'un petit élevage ou d'un jardin potager; aide régulièrement dans l'exploitation agricole familiale; a occupé un petit job ou une activité rémunérée pendant les vacances,Chef de production,Terrain/Extérieur,Biotechnologie et Agronomie,IAA,Industries Agroalimentaires,True,PIP
P00458,20,F,Atsimo-Andrefana,Général,S,,9.48,11.2,10.2,10.4,9.3,9.6,10.1,8.0,11.4,10.3,6.5,10.4,6.4,Arts; Mathematiques; Philosophie; SVT,curiosité; rigueur; sens de l'observation; langues étrangères; accueil et relation client; esprit d'équipe,Langues étrangères; Gastronomie; Sport,a organisé un voyage ou un événement pour son groupe d'amis,Gestionnaire de sites protégés,Mixte/Itinérant,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",False,
P00459,17,F,Atsinanana,Professionnel et technique,TFFI,Industriel,10.16,12.3,9.6,9.5,13.4,10.8,10.6,13.4,9.4,4.7,7.6,11.1,9.5,Francais; Histoire_Geo; Mathematiques,management hôtelier et restauration; esprit d'analyse; curiosité; sens de l'organisation; autonomie,Gastronomie,a organisé un voyage ou un événement pour son groupe d'amis; pratique l'anglais ou une autre langue étrangère en autodidacte; a occupé un petit job ou une activité rémunérée pendant les vacances,Responsable écotourisme; Chef de produit touristique,Contact clientèle/Relationnel,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",True,TEE
P00460,18,M,Analamanga,Professionnel et technique,SS,Tertiaire,12.28,10.2,11.5,11.4,13.9,14.8,13.1,15.2,11.1,10.9,10.4,12.9,11.9,Francais; Histoire_Geo; Malgache,accueil et relation client; persévérance; sens de l'organisation,Langues étrangères; Cultures du monde,pratique l'anglais ou une autre langue étrangère en autodidacte; a organisé un voyage ou un événement pour son groupe d'amis; participe à des activités associatives ou de bénévolat,Directeur d'établissement hôtelier,Mixte/Itinérant,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",False,
P00461,18,F,Fitovinany,Général,A1,,10.45,13.1,7.9,8.8,9.0,12.8,9.4,11.2,7.4,14.5,11.2,10.7,9.4,Arts; Economie; Histoire_Geo; Informatique; Malgache,esprit d'analyse; créativité; rigueur; gestion de trésorerie; sens de l'observation,Débat et droit; Lecture,s'intéresse à l'actualité économique et suit des chaînes d'information; participe à des activités associatives ou de bénévolat,Contrôleur de gestion; créer sa propre entreprise,Contact clientèle/Relationnel,Droit et Techniques des Affaires,FIC,Finances et Comptabilité,False,
P00462,17,M,Vatovavy,Professionnel et technique,MEMA,Industriel,13.78,10.9,11.2,13.6,14.1,14.1,13.7,15.5,15.4,15.2,14.8,13.5,13.4,Economie; Informatique; Mathematiques; Philosophie,rigueur; langues étrangères; conception de produits touristiques; sens de l'observation,Voyage; Musique,aime cuisiner et découvrir des plats d'autres cultures; pratique un sport en club depuis plusieurs années,Manager d'agence de voyage,Contact clientèle/Relationnel,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",True,TEE
P00463,19,M,Amoron'i Mania,Général,S,,13.61,12.6,15.5,16.9,14.5,11.5,14.7,14.5,11.1,13.8,14.8,11.6,11.8,Anglais; Informatique; Physique_Chimie; SVT,créativité; sens de l'observation; curiosité; zootechnie et pisciculture,Agriculture; Nature; Musique,s'occupe d'un petit élevage ou d'un jardin potager; a participé à un club de sciences naturelles ou d'écologie; participe à des activités associatives ou de bénévolat,Ingénieur Agronome; Expert en agri-business,Terrain/Extérieur,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00464,18,F,Atsinanana,Professionnel et technique,TPFM,Industriel,6.1,6.1,5.4,2.6,8.1,2.7,9.9,3.2,6.0,5.7,7.7,7.8,8.0,Anglais; EPS; Francais,persévérance; sens de l'observation; développement web et mobile multimédia; esprit d'équipe; design UI/UX; communication digitale et PAO; créativité,Technologie; Réseaux sociaux et numérique; Sport,a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne; a participé à un club informatique ou de robotique au lycée,Webmaster; travailler à l'international,Bureau/Numérique,Informatique et Télécommunications,IMTICIA,"Informatique Multimédia, Technologie de l'Information et de la Communication et Intelligence Artificielle",False,
P00465,19,M,Vakinankaratra,Professionnel et technique,TMA,Industriel,12.22,11.9,15.8,12.0,13.6,12.7,10.3,11.8,11.3,10.0,11.1,12.9,13.2,EPS; Francais; Physique_Chimie,sens de l'organisation; conception assistée par ordinateur (AutoCAD); autonomie; créativité,Industrie; Musique,a effectué un stage d'observation dans un atelier ou une usine; aide régulièrement à l'entretien de véhicules en famille,Ingénieur en bureau d'études mécanique; avoir un poste à responsabilités,Atelier/Industriel,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,False,
P00466,18,F,Alaotra-Mangoro,Général,C,,16.38,15.2,16.8,16.4,14.8,16.7,16.6,16.8,16.3,16.7,14.8,17.0,18.5,Arts; EPS; Physique_Chimie,persévérance; curiosité; pharmacologie; rigueur; sens de l'organisation,Nature; Environnement; Sport,a participé à un club de sciences naturelles ou d'écologie,Responsable de production pharmaceutique; travailler à l'international,Laboratoire/Recherche,Biotechnologie et Agronomie,PIP,Pharmacologie et Industries Pharmaceutiques,False,
P00467,19,F,Melaky,Professionnel et technique,ACTC,Tertiaire,11.18,10.6,12.3,11.9,12.5,9.5,11.4,13.0,8.3,11.8,12.2,12.8,7.9,Arts; Histoire_Geo; Physique_Chimie,rigueur; langues étrangères; sens de l'organisation; autonomie; accueil et relation client,Hôtellerie; Cultures du monde,aime cuisiner et découvrir des plats d'autres cultures,Chef de produit touristique; Directeur d'établissement hôtelier,Mixte/Itinérant,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",False,
P00468,19,M,Itasy,Général,A2,,15.58,16.1,16.2,20,14.9,16.1,15.8,15.3,14.3,16.2,13.1,15.9,13.1,Economie; Physique_Chimie; SVT,gestion de laboratoire d'analyses médicales; esprit d'équipe; curiosité; exploitation minière et géologie,Industrie; Nature,a participé à un club de robotique ou de modélisme; s'occupe d'un petit élevage ou d'un jardin potager,Responsable de production pharmaceutique; travailler à l'international,Terrain/Extérieur,Biotechnologie et Agronomie,PIP,Pharmacologie et Industries Pharmaceutiques,True,ICMP
P00469,19,F,Haute Matsiatra,Professionnel et technique,TAMB,Industriel,10.71,11.1,11.2,10.3,9.2,9.1,9.8,12.0,9.5,11.4,12.0,13.9,9.0,Arts; Economie; Histoire_Geo; Informatique; Physique_Chimie,autonomie; rigueur; esprit d'analyse; aisance relationnelle; développement web et mobile multimédia,Technologie; Réseaux sociaux et numérique; Sport,a participé à un club informatique ou de robotique au lycée; a occupé un petit job ou une activité rémunérée pendant les vacances,Webmaster; UX/UI Designer,Mixte/Itinérant,Informatique et Télécommunications,IMTICIA,"Informatique Multimédia, Technologie de l'Information et de la Communication et Intelligence Artificielle",False,
P00470,17,M,Analamanga,Général,L,,12.55,13.1,14.7,10.8,11.8,15.2,12.1,12.7,9.8,16.9,9.3,11.4,12.8,Economie; Malgache; Mathematiques; Physique_Chimie,créativité; analyse financière et gestion budgétaire; négociation et vente internationale; curiosité; sens de l'organisation,Économie; Sport,gère les comptes d'une association d'élèves,Consultant en management; Analyste économique,Contact clientèle/Relationnel,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,True,CAA
P00471,19,F,Diana,Professionnel et technique,DAMB,Industriel,10.26,11.9,10.4,9.4,12.2,11.6,8.1,12.3,13.1,9.0,7.6,8.4,9.1,Francais; Histoire_Geo; Mathematiques; Philosophie,droit foncier et minier; curiosité; esprit d'équipe; esprit d'analyse; rigueur,Débat et droit; Gestion; Sport,a organisé une petite activité commerciale ou un projet associatif; a participé à un club de débat ou un simulacre de procès au lycée; participe à des activités associatives ou de bénévolat,Juriste d'affaires,Contact clientèle/Relationnel,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,True,EMP
P00472,17,M,Melaky,Professionnel et technique,DAMB,Industriel,11.93,12.4,14.0,10.8,10.7,11.2,11.1,12.6,12.3,13.3,14.3,12.0,8.4,Economie; Histoire_Geo; Informatique; Physique_Chimie,"administration de réseaux (GSM, TCP/IP); persévérance; traitement du signal et automatique; esprit d'analyse; systèmes embarqués et IoT",Programmation; Réseaux sociaux,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; a participé à un club informatique ou de robotique au lycée; participe à des activités associatives ou de bénévolat,Ingénieur système et réseau,Bureau/Numérique,Informatique et Télécommunications,ESIIA,"Électronique, Systèmes Informatiques et Intelligence Artificielle",False,
P00473,17,M,Melaky,Professionnel et technique,TAG,Agricole,11.02,7.7,10.7,12.0,13.7,9.4,11.7,8.9,12.4,16.5,8.6,10.9,9.7,Anglais; Economie; Francais; Philosophie; SVT,créativité; persévérance; aisance relationnelle; analyse financière et gestion budgétaire; esprit d'analyse; stratégie marketing et commerciale; gestion d'entreprise,Économie; Actualité et politique; Bénévolat associatif,gère les comptes d'une association d'élèves; a organisé une petite activité commerciale ou un projet associatif; a occupé un petit job ou une activité rémunérée pendant les vacances,Responsable export; Manager de PME/PMI; contribuer au développement de Madagascar,Contact clientèle/Relationnel,Droit et Techniques des Affaires,CAA,Commerce et Administration des Affaires,True,EMP
P00474,18,F,Fitovinany,Général,D,,12.29,12.0,13.8,15.5,11.3,12.5,10.0,12.2,12.4,12.0,13.1,12.5,10.2,Physique_Chimie; SVT,esprit d'équipe; transformation agroalimentaire; sécurité alimentaire; aisance relationnelle,Nature; Animaux; Lecture,a réalisé un exposé scolaire sur la santé ou la biologie; participe à des activités associatives ou de bénévolat,Consultant qualité; Responsable Qualité et Hygiène; créer sa propre entreprise,Laboratoire/Recherche,Biotechnologie et Agronomie,IAA,Industries Agroalimentaires,False,
P00475,17,M,Menabe,Général,C,,8.75,7.0,9.6,11.3,8.3,3.5,11.0,8.1,13.5,8.8,9.1,7.8,7.0,Anglais; Philosophie; SVT,autonomie; droit foncier et minier; curiosité; droit des contrats et des sociétés,Économie; Gestion; Musique,a participé à un club de débat ou un simulacre de procès au lycée; participe à des activités associatives ou de bénévolat,Assistant juridique,Contact clientèle/Relationnel,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,False,
P00476,19,M,Analanjirofo,Général,D,,13.27,11.1,13.6,17.2,11.3,13.0,14.8,11.2,12.0,15.4,13.2,14.0,12.4,Anglais; Arts; Economie; Physique_Chimie; SVT,zootechnie et pisciculture; esprit d'analyse; esprit d'équipe; persévérance; productions végétales et animales; développement rural; sens de l'observation,Nature; Santé,a participé à un club de sciences naturelles ou d'écologie; s'occupe d'un petit élevage ou d'un jardin potager,Expert en agri-business; Consultant en agroécologie,Laboratoire/Recherche,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00477,17,F,Amoron'i Mania,Technologique,TGC,Génie civil,10.85,14.5,11.6,10.8,9.6,9.6,10.6,10.7,11.7,9.4,11.3,11.2,9.2,Arts; Informatique; Philosophie; Physique_Chimie,persévérance; esprit d'analyse; géotechnique,Architecture; Dessin et design; Lecture,a visité un chantier de construction dans le cadre d'un stage d'observation; pratique un sport en club depuis plusieurs années,Architecte junior; Ingénieur en génie civil; avoir un métier stable,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,True,
P00478,19,F,Sofia,Professionnel et technique,TPFM,Industriel,12.97,17.8,10.0,9.3,14.9,13.9,13.6,11.8,12.9,12.4,15.7,12.4,10.9,Francais; Informatique; Mathematiques,créativité; traitement de données massives (Big Data); sens de l'observation,Jeux vidéo; Technologie,a monté et dépanné des ordinateurs pour son entourage,Data Scientist; travailler à l'international,Bureau/Numérique,Informatique et Télécommunications,ISAIA,"Informatique, Statistique Appliquée et Intelligence Artificielle",True,IGGLIA
P00479,17,F,Diana,Général,S,,11.97,9.7,9.6,14.2,10.5,10.8,12.8,11.9,12.2,13.9,12.7,13.8,11.6,Arts; Economie; SVT,"créativité; esprit d'équipe; sens de l'observation; conception logicielle (UML, Merise); aisance relationnelle; notions d'intelligence artificielle",Technologie; Jeux vidéo; Lecture,a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne; participe à des activités associatives ou de bénévolat,Administrateur de bases de données; Développeur Full-Stack (Web & Mobile); avoir un poste à responsabilités,Mixte/Itinérant,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00480,19,F,Atsimo-Andrefana,Général,L,,13.58,15.2,12.0,14.5,12.3,10.9,14.1,15.2,13.6,14.6,15.4,12.1,13.1,Histoire_Geo; Informatique; Mathematiques,rigueur; sens de l'organisation; créativité; sensibilisation au tourisme durable; aisance relationnelle,Voyage; Sport,pratique l'anglais ou une autre langue étrangère en autodidacte; a effectué un stage d'observation dans un hôtel ou une agence de voyage,Chargé de valorisation touristique et environnementale; Professionnel du secteur du tourisme,Mixte/Itinérant,Tourisme,TEE,Tourisme et Environnement,False,
P00481,20,M,Amoron'i Mania,Général,S,,11.73,11.3,14.7,11.8,9.0,10.6,11.2,14.0,9.8,14.4,11.8,11.3,10.9,Economie; Histoire_Geo; Physique_Chimie; SVT,créativité; géotechnique; calcul de structures (RDM); esprit d'analyse,Construction; Urbanisme; Réseaux sociaux,aime dessiner des plans de maisons ou des croquis d'aménagement; a visité un chantier de construction dans le cadre d'un stage d'observation; a occupé un petit job ou une activité rémunérée pendant les vacances,Ingénieur en génie civil; Entrepreneur en BTP,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,False,
P00482,19,M,Atsimo-Andrefana,Général,OSE,,6.53,4.4,5.2,5.6,7.7,6.5,5.5,7.3,6.0,8.7,6.2,7.6,7.7,Arts; EPS; Economie; Francais; Histoire_Geo,analyse économique et économétrie; gestion financière prévisionnelle; sens de l'organisation; esprit d'analyse; pilotage et planification de projets,Gestion; Bénévolat associatif,gère les comptes d'une association d'élèves; a occupé un petit job ou une activité rémunérée pendant les vacances,Analyste économique; Consultant en management,Bureau/Numérique,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,False,
P00483,19,F,Sava,Professionnel et technique,TOM,Industriel,11.7,15.7,12.1,13.4,9.3,10.1,9.8,10.2,9.3,13.3,14.8,11.8,10.6,Economie; Informatique; Mathematiques; SVT,"sens de l'organisation; conception logicielle (UML, Merise); rigueur; sens de l'observation",Technologie; Musique,a participé à un club informatique ou de robotique au lycée; a monté et dépanné des ordinateurs pour son entourage,Architecte logiciel; contribuer au développement de Madagascar,Bureau/Numérique,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00484,20,M,Androy,Général,C,,13.41,15.9,13.4,15.8,11.7,13.5,13.8,13.9,12.8,9.7,18.4,12.4,9.6,Histoire_Geo; Informatique; Mathematiques; SVT,"aisance relationnelle; conception logicielle (UML, Merise); programmation multi-langages (Java, C#, PHP, JavaScript); persévérance; administration de bases de données",Programmation; Technologie; Bénévolat associatif,a participé à un club informatique ou de robotique au lycée,Expert en transformation digitale,Bureau/Numérique,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00485,19,M,Haute Matsiatra,Professionnel et technique,TPFM,Industriel,12.09,15.7,16.6,11.0,13.5,10.4,10.4,12.1,11.6,10.6,14.3,9.7,9.2,Informatique; Mathematiques; Physique_Chimie,"rigueur; traitement du signal et automatique; maintenance hardware et microcontrôleurs; sens de l'observation; administration de réseaux (GSM, TCP/IP); esprit d'analyse",Réseaux sociaux et numérique; Sport,a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne,Spécialiste en maintenance de systèmes informatisés; créer sa propre entreprise,Bureau/Numérique,Informatique et Télécommunications,ESIIA,"Électronique, Systèmes Informatiques et Intelligence Artificielle",False,
P00486,18,M,Betsiboka,Général,A1,,13.3,11.2,14.6,13.7,16.0,14.4,13.5,14.7,12.5,10.7,12.1,12.1,14.1,EPS; Francais; Histoire_Geo; Malgache; Physique_Chimie,curiosité; droit foncier et minier; sens de l'organisation,Débat et droit; Entrepreneuriat; Bénévolat associatif,a organisé une petite activité commerciale ou un projet associatif; gère les comptes d'une association d'élèves; pratique un sport en club depuis plusieurs années,Responsable des ressources humaines (volet juridique); Assistant juridique,Contact clientèle/Relationnel,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,False,
P00487,17,M,Atsimo-Atsinanana,Professionnel et technique,TEV,Agricole,11.03,12.0,11.4,16.1,12.9,10.5,9.3,9.7,9.1,10.0,9.1,10.8,11.5,EPS; Francais; Mathematiques; SVT,sens de l'organisation; normes HACCP et microbiologie; transformation agroalimentaire; rigueur; curiosité; biochimie et R&D,Santé; Animaux,s'occupe d'un petit élevage ou d'un jardin potager,Consultant qualité; Ingénieur de production en industrie agroalimentaire,Terrain/Extérieur,Biotechnologie et Agronomie,IAA,Industries Agroalimentaires,False,
P00488,20,F,Betsiboka,Professionnel et technique,SS,Tertiaire,9.71,9.1,7.2,10.0,11.8,8.9,9.5,10.5,11.8,9.4,7.9,10.8,9.6,Arts; Francais; Philosophie,droit des contrats et des sociétés; créativité; gestion des litiges commerciaux; persévérance,Entrepreneuriat; Bénévolat associatif,a participé à un club de débat ou un simulacre de procès au lycée; a organisé une petite activité commerciale ou un projet associatif,Juriste d'affaires; Responsable des ressources humaines (volet juridique); créer sa propre entreprise,Contact clientèle/Relationnel,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,True,EMP
P00489,18,M,Vatovavy,Technologique,TGC,Génie civil,9.09,10.3,10.4,7.6,7.3,10.0,8.4,9.8,9.5,7.1,9.5,10.9,8.3,Arts; Mathematiques; Physique_Chimie,ingénierie des infrastructures routières et hydrauliques; persévérance; aisance relationnelle; calcul de structures (RDM); géotechnique,Construction,aime dessiner des plans de maisons ou des croquis d'aménagement,Ingénieur en génie civil; Ingénieur en Bureau d'Études,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,False,
P00490,17,F,Itasy,Professionnel et technique,SS,Tertiaire,12.38,13.5,14.5,11.9,12.2,13.6,16.7,10.4,9.0,12.2,12.3,10.9,11.3,Anglais; Malgache; Physique_Chimie,stratégie marketing et commerciale; négociation et vente internationale; esprit d'équipe; autonomie,Actualité et politique; Gestion; Réseaux sociaux,a participé à un club de débat ou un simulacre de procès au lycée; a organisé une petite activité commerciale ou un projet associatif; a occupé un petit job ou une activité rémunérée pendant les vacances,Responsable Marketing,Bureau/Numérique,Droit et Techniques des Affaires,CAA,Commerce et Administration des Affaires,False,
P00491,18,M,Atsimo-Atsinanana,Professionnel et technique,TMF,Industriel,12.31,11.0,10.7,13.7,12.0,11.2,15.6,13.4,12.1,13.1,11.9,10.7,12.3,Anglais; EPS; Economie; Histoire_Geo; SVT,conception de produits touristiques; esprit d'équipe; management hôtelier et restauration; aisance relationnelle; esprit d'analyse; accueil et relation client; autonomie,Gastronomie; Langues étrangères,a effectué un stage d'observation dans un hôtel ou une agence de voyage,Directeur d'établissement hôtelier,Mixte/Itinérant,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",False,
P00492,17,F,Alaotra-Mangoro,Professionnel et technique,TAMB,Industriel,13.07,13.4,13.8,10.2,14.4,14.0,13.1,15.2,15.0,15.3,9.9,10.4,12.2,Economie; Francais; Histoire_Geo; Malgache; Philosophie,droit des contrats et des sociétés; persévérance; curiosité; esprit d'analyse,Actualité et politique,a organisé une petite activité commerciale ou un projet associatif; gère les comptes d'une association d'élèves,Responsable des ressources humaines (volet juridique); Assistant juridique,Bureau/Numérique,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,False,
P00493,18,F,Ihorombe,Général,A1,,15.01,15.6,11.9,14.7,17.3,15.0,18.1,11.9,14.5,19.2,13.5,13.9,14.5,Anglais; Economie; Francais,persévérance; gestion d'entreprise; sens de l'observation,Gestion; Débat et droit,gère les comptes d'une association d'élèves; a occupé un petit job ou une activité rémunérée pendant les vacances,Responsable Marketing; Manager de PME/PMI; travailler à l'international,Bureau/Numérique,Droit et Techniques des Affaires,CAA,Commerce et Administration des Affaires,False,
P00494,17,F,Sofia,Professionnel et technique,MEMA,Industriel,12.95,15.5,11.9,14.6,13.6,13.3,11.3,11.7,12.7,15.4,12.7,9.4,13.3,Economie; Francais; Mathematiques; SVT,curiosité; aisance relationnelle; analyse statistique et probabilités appliquées; créativité; traitement de données massives (Big Data),Jeux vidéo; Programmation; Sport,a monté et dépanné des ordinateurs pour son entourage; a participé à un club informatique ou de robotique au lycée,Statisticien financier,Bureau/Numérique,Informatique et Télécommunications,ISAIA,"Informatique, Statistique Appliquée et Intelligence Artificielle",False,
P00495,20,M,Sava,Professionnel et technique,TMF,Industriel,15.23,16.6,9.7,12.2,17.5,17.9,15.9,15.9,18.1,15.3,15.6,15.6,12.5,Malgache; Philosophie,sens de l'observation; droit des contrats et des sociétés; droit foncier et minier; rigueur; gestion des litiges commerciaux,Gestion; Entrepreneuriat; Bénévolat associatif,a organisé une petite activité commerciale ou un projet associatif; a participé à un club de débat ou un simulacre de procès au lycée,Responsable des ressources humaines (volet juridique); Chargé de conformité,Contact clientèle/Relationnel,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,False,
P00496,20,M,Sofia,Général,A2,,13.85,12.7,14.3,15.9,12.7,14.6,11.6,14.0,15.3,12.3,13.4,15.8,13.6,Arts; Philosophie; SVT,créativité; sens de l'observation; formulation pharmaceutique; phytochimie,Nature; Réseaux sociaux,a participé à un club de sciences naturelles ou d'écologie; pratique un sport en club depuis plusieurs années,Responsable de production pharmaceutique; Responsable contrôle qualité; avoir un métier stable,Terrain/Extérieur,Biotechnologie et Agronomie,PIP,Pharmacologie et Industries Pharmaceutiques,False,
